timestamp_ms,accel_x,accel_y,accel_z,temperatura,humedad,label
367852,9.3717,0.6179,-1.0993,30.3,68.1,2
367863,8.8137,0.9436,-1.2885,30.3,68.1,2
367874,8.8448,1.6933,-1.4586,30.3,68.1,2
367885,8.6724,1.9663,-1.5927,30.3,68.1,2
367896,8.8759,2.0549,-1.8298,30.3,68.1,2
367907,8.9119,2.2681,-2.2106,30.3,68.1,2
367918,9.1418,2.2777,-2.9626,30.3,68.1,2
367929,9.3909,1.8274,-3.1974,30.3,68.1,2
367940,9.4963,1.4658,-3.286,30.3,68.1,2
367951,10.083,0.9269,-2.9076,30.3,68.1,2
367962,9.8124,0.4,-3.0608,30.3,68.1,2
367973,9.2879,2.0358,-3.2692,30.3,68.1,2
367984,9.4028,1.5951,-3.4536,30.3,68.1,2
367995,9.798,1.2047,-3.1662,30.3,68.1,2
368006,10.1669,0.6778,-2.8213,30.3,68.1,2
368017,9.8387,0.4622,-3.389,30.3,68.1,2
368028,10.0591,-0.3066,-3.4728,30.3,68.1,2
368039,10.2411,-0.9412,-3.5686,30.3,68.1,2
368050,10.4135,-1.2526,-3.1039,30.3,68.1,2
368061,10.0184,-1.7029,-3.0129,30.3,68.1,2
368072,10.5429,-2.0238,-2.5363,30.3,68.1,2
368083,10.3369,-2.1244,-2.3926,30.3,68.1,2
368094,10.1453,-2.0717,-2.419,30.3,68.1,2
368105,10.3106,-1.6574,-2.783,30.3,68.1,2
368116,10.2722,-1.9903,-2.304,30.3,68.1,2
368127,10.5213,-2.1052,-2.3615,30.3,68.1,2
368138,10.4614,-2.0382,-2.292,30.3,68.1,2
368149,10.3106,-1.8322,-1.9064,30.3,68.1,2
368160,9.8459,-1.4226,-1.7891,30.3,68.1,2
368171,9.6304,-0.8909,-1.2933,30.3,68.1,2
368182,9.307,-0.2778,-1.3532,30.3,68.1,2
368193,9.0005,0.5197,-1.425,30.3,68.1,2
368204,8.8664,0.9293,-1.5304,30.3,68.1,2
368215,8.9191,1.3795,-1.6023,30.3,68.1,2
368226,9.1466,1.9352,-1.461,30.3,68.1,2
368237,8.9358,2.2705,-1.3867,30.3,68.1,2
368248,9.1609,0.7401,-1.2119,30.3,68.1,2
368259,8.7849,1.2334,-1.5735,30.3,68.1,2
368270,9.1035,1.8202,-1.3316,30.3,68.1,2
368281,8.8089,2.1172,-1.54,30.3,68.1,2
368292,8.943,2.4286,-1.6286,30.3,68.1,2
368303,8.5622,2.3519,-2.5746,30.3,68.1,2
368314,9.2328,2.1603,-2.8764,30.3,68.1,2
368325,9.5537,1.8849,-3.1854,30.3,68.1,2
368336,9.6879,1.5448,-3.0321,30.3,68.1,2
368347,9.6112,0.958,-3.0776,30.3,68.1,2
368358,9.9968,0.6443,-3.1566,30.3,68.1,2
368369,10.0543,0.1772,-3.286,30.3,68.1,2
368380,10.0351,-0.4143,-3.4512,30.3,68.1,2
368391,9.7381,1.2598,-3.0297,30.3,68.1,2
368402,9.6855,0.752,-3.4225,30.3,68.1,2
368413,10.119,0.3353,-3.5494,30.3,68.1,2
368424,10.1764,-0.1916,-3.468,30.3,68.1,2
368435,9.8148,-0.7257,-3.753,30.3,68.1,2
368446,10.198,-1.1352,-3.3842,30.3,68.1,2
368457,10.6554,-1.5616,-2.7662,30.3,68.1,2
368468,10.9309,-1.722,-2.0094,30.3,68.1,2
368479,10.3656,-1.9879,-1.9328,30.3,68.1,2
368490,10.1669,-1.8825,-2.0573,30.3,68.1,2
368501,10.404,-1.8034,-1.5496,30.3,68.1,2
368512,10.2028,-1.358,-0.867,30.3,68.1,2
368523,9.5298,-0.879,-0.9317,30.3,68.1,2
368534,10.0974,-1.9184,-2.0669,30.3,68.1,2
368545,9.7621,-1.71,-1.619,30.3,68.1,2
368556,9.7741,-1.3723,-1.255,30.3,68.1,2
368567,9.7789,-0.776,-0.958,30.3,68.1,2
368578,9.5873,-0.103,-0.8694,30.3,68.1,2
368589,8.9526,0.3233,-1.1831,30.3,68.1,2
368600,8.8879,0.9341,-1.5232,30.3,68.1,2
368611,8.3419,1.3556,-1.5759,30.3,68.1,2
368622,8.4808,1.7771,-1.849,30.3,68.1,2
368633,8.8879,2.1148,-1.8633,30.3,68.1,2
368644,8.967,2.2872,-2.3112,30.3,68.1,2
368655,9.2256,2.2777,-2.8692,30.3,68.1,2
368666,8.4377,1.5951,-1.8945,30.3,68.1,2
368677,8.9262,2.1459,-1.9831,30.3,68.1,2
368688,9.2783,2.2777,-1.9136,30.3,68.1,2
368699,9.1274,2.2848,-2.5842,30.3,68.1,2
368710,9.2472,2.1076,-3.3171,30.3,68.1,2
368721,9.695,1.7699,-3.4369,30.3,68.1,2
368732,9.6567,1.2718,-3.3866,30.3,68.1,2
368743,10.3992,0.9628,-2.9099,30.3,68.1,2
368754,9.9178,0.3161,-3.0584,30.3,68.1,2
368765,9.5825,-0.091,-3.6572,30.3,68.1,2
368776,10.2148,-0.5437,-3.4321,30.3,68.1,2
368787,9.9561,-1.1496,-3.5015,30.3,68.1,2
368798,9.7166,-1.3604,-2.9459,30.3,68.1,2
368809,9.5944,0.0623,-3.25,30.3,68.1,2
368820,9.8723,-0.3808,-3.6093,30.3,68.1,2
368831,10.186,-0.8526,-3.4632,30.3,68.1,2
368842,10.4135,-1.3604,-2.9794,30.3,68.1,2
368853,10.0375,-1.5568,-2.5172,30.3,68.1,2
368864,10.0567,-1.8681,-2.2872,30.3,68.1,2
368875,10.404,-1.9687,-1.8945,30.3,68.1,2
368886,10.1549,-1.9184,-1.9495,30.3,68.1,2
368897,9.5082,-1.849,-2.0717,30.3,68.1,2
368913,9.3645,-0.1198,-0.9844,30.3,68.1,2
368924,9.3717,0.5245,-1.0394,30.3,68.1,2
368935,9.0747,0.9748,-1.3484,30.3,68.1,2
368946,9.7262,-0.8383,-0.9915,30.3,68.1,2
368957,9.4124,0.0216,-0.8335,30.3,68.1,2
368968,9.0891,0.2491,-1.2933,30.3,68.1,2
368979,8.967,0.855,-1.7436,30.3,68.1,2
368990,8.7346,1.2909,-1.837,30.3,68.1,2
369001,9.1059,1.8034,-1.6406,30.3,68.1,2
369012,8.8999,2.1388,-1.7939,30.3,68.1,2
369023,9.0987,2.213,-2.0741,30.3,68.1,2
369034,9.0867,2.2082,-2.6393,30.3,68.1,2
369045,9.4986,1.9807,-3.0584,30.3,68.1,2
369056,9.901,1.6095,-3.0992,30.3,68.1,2
369067,9.9489,1.2837,-3.0297,30.3,68.1,2
369078,10.289,0.7736,-2.8908,30.3,68.1,2
369089,9.5178,2.2106,-2.989,30.3,68.1,2
369100,9.7741,1.8585,-3.2093,30.3,68.1,2
369111,9.7621,1.4658,-3.3027,30.3,68.1,2
369122,9.9417,0.9532,-3.262,30.3,68.1,2
369133,9.6687,0.7832,-3.25,30.3,68.1,2
369144,10.0256,0.2539,-3.1854,30.3,68.1,2
369155,10.2818,-0.3856,-3.2932,30.3,68.1,2
369166,9.9034,-0.9484,-3.559,30.3,68.1,2
369177,10.0615,-1.825,-3.2836,30.3,68.1,2
369188,10.1405,-2.0286,-2.3567,30.3,68.1,2
369199,9.9777,-1.9735,-1.9232,30.3,68.1,2
369210,9.8268,-2.11,-2.122,30.3,68.1,2
369221,9.3597,-1.9879,-2.201,30.3,68.1,2
369232,10.2411,-1.837,-1.9711,30.3,68.1,2
369243,9.8603,-2.0765,-1.7915,30.3,68.1,2
369254,9.4723,-2.1364,-1.9184,30.3,68.1,2
369265,8.8927,-2.0262,-2.5603,30.3,68.1,2
369276,8.4903,-1.7963,-2.8453,30.3,68.1,2
369287,8.2963,-1.3843,-2.8189,30.3,68.1,2
369298,8.6053,-0.7664,-2.6704,30.3,68.1,2
369309,8.6652,-0.1629,-3.1997,30.3,68.1,2
369320,9.0819,0.6538,-3.923,30.3,68.1,2
369331,10.0327,1.3843,-3.4656,30.3,68.1,2
369342,11.1584,2.2082,-1.9879,30.3,68.1,2
369353,11.7907,2.3639,-0.7592,30.3,68.1,2
369364,10.4279,0.1796,-3.3075,30.3,68.1,2
369381,10.2722,0.3185,-2.6441,30.3,68.1,2
369392,10.1405,0.673,-2.8141,30.3,68.1,2
369403,10.2938,0.5173,-2.7662,30.3,68.1,2
369414,10.5141,1.1089,-1.9807,30.3,68.1,2
369425,9.7765,1.3963,-1.1304,30.3,68.1,2
369436,9.7118,1.8394,-0.9604,30.3,68.1,2
369447,9.98,1.9495,-0.7856,30.3,68.1,2
369458,10.3896,1.928,-0.7496,30.3,68.1,2
369469,10.6195,1.7795,-0.3832,30.3,68.1,2
369480,10.0711,1.6957,-0.8526,30.3,68.1,2
369491,10.3153,1.4466,-0.9891,30.3,68.1,2
369502,10.4255,1.1017,-1.3628,30.3,68.1,2
369513,10.9883,2.4788,-1.0323,30.3,68.1,2
369524,11.1273,2.2393,-1.3867,30.3,68.1,2
369535,11.0051,1.8106,-1.425,30.3,68.1,2
369546,10.6243,1.334,-0.9317,30.3,68.1,2
369557,10.1812,0.879,-0.9317,30.3,68.1,2
369568,9.422,0.4503,-1.6621,30.3,68.1,2
369579,9.8842,0.0862,-1.4801,30.3,68.1,2
369590,9.1083,-0.4551,-2.4621,30.3,68.1,2
369601,9.4244,-0.6922,-2.3687,30.3,68.1,2
369612,8.9933,-1.1137,-3.0896,30.3,68.1,2
369623,8.6101,-1.4801,-3.5183,30.3,68.1,2
369634,8.6197,-1.5472,-3.559,30.3,68.1,2
369645,8.9047,-1.8705,-3.3602,30.3,68.1,2
369656,9.3885,-0.6778,-2.8237,30.3,68.1,2
369667,9.3286,-1.1281,-2.68,30.3,68.1,2
369678,9.1538,-1.643,-2.6393,30.3,68.1,2
369689,9.2663,-1.8346,-2.8692,30.3,68.1,2
369700,9.1753,-2.0549,-2.6489,30.3,68.1,2
369711,9.1466,-2.1962,-3.0848,30.3,68.1,2
369722,9.0029,-2.0358,-3.2357,30.3,68.1,2
369733,8.7777,-1.7508,-3.1327,30.3,68.1,2
369744,8.5358,-1.3891,-2.8453,30.3,68.1,2
369755,8.6748,-0.6802,-2.5148,30.3,68.1,2
369766,8.8233,-0.1245,-2.6273,30.3,68.1,2
369777,9.0556,0.5077,-2.7543,30.3,68.1,2
369788,9.4172,1.0323,-2.965,30.3,68.1,2
369799,9.1538,-0.6467,-2.1244,30.3,68.1,2
369810,9.125,0.0479,-2.5315,30.3,68.1,2
369821,9.4316,0.6035,-2.8333,30.3,68.1,2
369832,9.695,1.0634,-2.4525,30.3,68.1,2
369843,9.8627,1.5951,-2.3998,30.3,68.1,2
369854,9.9992,1.9352,-1.6597,30.3,68.1,2
369865,10.1812,2.1867,-1.916,30.3,68.1,2
369876,10.665,2.2489,-1.5137,30.3,68.1,2
369887,10.2483,2.0837,-1.4083,30.3,68.1,2
369898,9.8387,1.9232,-1.5663,30.3,68.1,2
369909,9.3885,1.54,-1.8897,30.3,68.1,2
369920,9.6902,1.231,-1.655,30.3,68.1,2
369931,9.719,0.8957,-1.6358,30.3,68.1,2
369942,10.0471,2.1196,-1.7603,30.3,68.1,2
369953,10.2004,1.9519,-2.0909,30.3,68.1,2
369964,10.5692,1.5951,-1.8298,30.3,68.1,2
369975,9.707,0.9628,-2.019,30.3,68.1,2
369986,9.6855,0.6323,-2.1771,30.3,68.1,2
369997,9.5849,-0.0192,-2.5555,30.3,68.1,2
370008,9.5034,-0.479,-2.977,30.3,68.1,2
370019,9.6687,-0.879,-2.8309,30.3,68.1,2
370030,9.7022,-1.4179,-2.795,30.3,68.1,2
370041,9.5705,-1.6837,-2.6896,30.3,68.1,2
370052,9.2663,-1.9998,-2.4836,30.3,68.1,2
370063,9.4172,-2.1052,-2.8932,30.3,68.1,2
370074,8.8927,-2.2561,-3.2357,30.3,68.1,2
370085,9.6352,-1.5376,-2.7351,30.3,68.1,2
370096,9.7262,-1.734,-2.5076,30.3,68.1,2
370107,9.252,-2.0573,-2.6657,30.3,68.1,2
370118,9.2735,-2.0573,-2.8022,30.3,68.1,2
370129,9.1897,-2.0909,-2.7998,30.3,68.1,2
370140,9.3502,-1.9352,-2.4956,30.3,68.1,2
370151,9.2136,-1.631,-2.189,30.3,68.1,2
370162,8.9909,-1.1304,-1.7699,30.3,68.1,2
370173,9.0149,-0.5509,-1.4562,30.3,68.1,2
370184,8.931,-0.1916,-1.722,30.3,68.1,2
370195,8.9478,0.673,-1.813,30.3,68.1,2
